ETF,Underlying,is_yieldboost,scenario_style,Delta_product_class,Delta,Delta_quality,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_price_ref,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expense_ratio_annual,net_decay_annual,asof_date,product_class,primary_edge_annual,net_edge_p05_annual,net_edge_p25_annual,net_edge_p50_annual,net_edge_p75_annual,net_edge_p95_annual,mechanical_decay_annual,realized_tracking_component_annual,slippage_proxy_annual,income_distributions_annual,schema_v,edge_sign_convention,bucket,execution_eligible
XOMX,XOM,False,,letf_long,1.996955,ok,-0.074189,45000.0,-0.074189,False,52.209999084472656,0.511228,0.16231,0.256004,0.0107,0.08709059722222223,2026-09-15,letf,0.08709059722222223,-0.020432811420058553,0.018993459971381067,0.04714209816853563,0.07816005627339602,0.11736016435126635,0.115418,0.046892,,,2,short_favorable_positive,bucket_1,True
YINN,FXI,False,,letf_long,2.987371,ok,0.0323,1100000.0,0.0323,False,26.56999969482422,0.564016,0.334557,0.1888,0.0134,0.3673056111111111,2026-09-15,letf,0.3673056111111111,0.13342670517211916,0.1878905220976117,0.22545078519976808,0.26853989304754633,0.3434255314953397,0.197914,0.136643,,,2,short_favorable_positive,bucket_1,True
MEXX,EWW,False,,letf_long,2.983052,ok,0.025427,40000.0,0.025427,False,26.200000762939453,0.627844,0.249165,0.21047,0.0123,0.27494515277777776,2026-09-15,letf,0.27494515277777776,0.12760082688372393,0.19524778227367354,0.23051240549482901,0.2679740082795097,0.3071307237295095,0.221851,0.027314000000000005,,,2,short_favorable_positive,bucket_1,True
KORU,EWY,False,,letf_long,2.988479,ok,-0.024662,1400000.0,-0.024662,False,18.600000381469727,1.6323,0.702625,0.546198,0.0132,0.6776204722222223,2026-09-15,letf,0.6776204722222223,0.8002290112846093,0.8757593452397029,0.934537887893839,0.9940569899310372,1.0882074713739274,0.978368,-0.27574299999999996,,,2,short_favorable_positive,bucket_1,True
HIBL,SPHB,False,,letf_long,3.003196,ok,-0.707483,75000.0,-0.707483,False,93.12000274658203,0.808816,0.329288,0.269318,0.0098,-0.3880211527777777,2026-09-15,letf,-0.3880211527777777,-0.4851365360116413,-0.4357759802682647,-0.4060102839766891,-0.3617566812636458,-0.29963771253517846,0.307303,0.021985000000000032,,,2,short_favorable_positive,bucket_1,True
LABU,XBI,False,,letf_long,2.992844,ok,-0.080728,55000.0,-0.080728,False,250.39999389648438,0.803175,0.325514,0.26979,0.0096,0.2436647777777778,2026-09-15,letf,0.2436647777777778,0.11204874448159619,0.19301726511329376,0.22303643461032052,0.2445817243939793,0.2751143324555966,0.305576,0.01993800000000001,,,2,short_favorable_positive,bucket_1,True
SOXL,SOXX,False,,letf_long,2.990806,ok,0.012121,2300000.0,0.012121,False,102.31999969482422,1.330456,0.64121,0.454981,0.0075,0.6534993472222221,2026-09-15,letf,0.6534993472222221,0.605929481038183,0.6628261796166721,0.7105006595492476,0.7560381149100588,0.8275977533442684,0.70261,-0.06140000000000001,,,2,short_favorable_positive,bucket_1,True
CHAU,ASHR,False,,letf_long,1.989175,ok,0.011776,75000.0,0.011776,False,20.219499588012695,0.362378,0.114707,0.182175,0.0119,0.12664655555555557,2026-09-15,letf,0.12664655555555557,0.05009962686892442,0.07306898221713576,0.08781429371282502,0.10473411658931234,0.13421995672948572,0.083722,0.030985,,,2,short_favorable_positive,bucket_1,True
CWEB,KWEB,False,,letf_long,1.997336,ok,0.027828,600000.0,0.027828,False,18.440000534057617,0.539508,0.188561,0.270114,0.0127,0.2167755,2026-09-15,letf,0.2167755,0.11398979243073133,0.13569634924299984,0.15388722866688279,0.16622962459551577,0.18945778975734692,0.124865,0.063696,,,2,short_favorable_positive,bucket_1,True
ERX,XLE,False,,letf_long,1.998032,ok,-0.013651,150000.0,-0.013651,False,114.80000305175781,0.432818,0.111103,0.215523,0.0091,0.09726240277777777,2026-09-15,letf,0.09726240277777777,0.021862690356498914,0.036515353675943746,0.04913232849291459,0.06015923709979803,0.07808367899255138,0.094935,0.016167999999999988,,,2,short_favorable_positive,bucket_1,True
NUGT,GDX,False,,letf_long,1.990598,ok,0.0323,500000.0,0.0323,False,171.61000061035156,0.998825,0.246744,0.501771,0.0113,0.2794926111111111,2026-09-15,letf,0.2794926111111111,0.2834036509406849,0.31227105070767536,0.33015268537466497,0.348013766098097,0.3737061756358958,0.298762,-0.052018000000000036,,,2,short_favorable_positive,bucket_1,True
JNUG,GDXJ,False,,letf_long,1.991144,ok,0.023492,150000.0,0.023492,False,168.8699951171875,1.109503,0.292629,0.557219,0.0103,0.31644727777777776,2026-09-15,letf,0.31644727777777776,0.3077417719319847,0.34741947559272185,0.377676941848983,0.40903200722956035,0.44243420589444815,0.35593,-0.06330100000000005,,,2,short_favorable_positive,bucket_1,True
GUSH,XOP,False,,letf_long,2.001176,ok,-0.047825,100000.0,-0.047825,False,50.13999938964844,0.575896,0.139878,0.287779,0.0094,0.09138876388888889,2026-09-15,letf,0.09138876388888889,0.05100522709788001,0.07065430755447026,0.0873297919529343,0.10368657729185017,0.13015811569910687,0.132009,0.007869000000000015,,,2,short_favorable_positive,bucket_1,True
URAA,URA,False,,letf_long,1.956268,ok,0.022267,55000.0,0.022267,False,21.6299991607666,0.989324,0.390119,0.50572,0.013,0.4126952638888889,2026-09-15,letf,0.4126952638888889,0.1463784220825641,0.25066469296076743,0.31680827587880606,0.38040243409935964,0.45170956545263724,0.290089,0.10003000000000001,,,2,short_favorable_positive,bucket_1,True
TQQQ,QQQ,False,,letf_long,2.991819,ok,0.028149,,0.028149,False,67.9000015258789,0.570469,0.228536,0.193752,0.0082,0.2570759583333333,2026-09-15,letf,0.2570759583333333,0.1748524114422573,0.19397610686733607,0.20768108628072662,0.22414699893198958,0.25278599682405345,0.198929,0.029606999999999994,,,2,short_favorable_positive,bucket_1,True
SPXL,SPY,False,,letf_long,2.992253,ok,0.014609,250000.0,0.014609,False,275.2699890136719,0.381542,0.161766,0.12751,0.0084,0.17657790277777777,2026-09-15,letf,0.17657790277777777,0.11047824358607679,0.13625401899796374,0.1568201655896112,0.17869306413424033,0.21685176400339543,0.135755,0.026011000000000006,,,2,short_favorable_positive,bucket_1,True
URTY,IWM,False,,letf_long,2.996509,ok,-0.016933,75000.0,-0.016933,False,72.97000122070312,0.555218,0.230755,0.151652,0.0095,0.21358681944444444,2026-09-15,letf,0.21358681944444444,0.0144099029640673,0.03682006404841971,0.05326747664069012,0.07203136205212861,0.09820893498342674,0.157356,0.07339899999999999,,,2,short_favorable_positive,bucket_1,True
MSTU,MSTR,False,,letf_long,1.984192,ok,-0.161912,95000.0,-0.161912,False,29.6299991607666,1.494014,1.053759,0.75523,0.0105,0.8895982222222221,2026-09-15,letf,0.8895982222222221,0.3538440559456142,0.42766376021215446,0.48405959320482195,0.5375538786056214,0.6275946625217895,0.606393,0.44736599999999993,,,2,short_favorable_positive,bucket_1,True
